Nama Barang,Stok(Minimum 1),Berat (gram),Harga (Rupiah),Kondisi(Baru/Bekas),Deskripsi,Wajib Asuransi?(Ya/Tidak),Merek (Bisa pilih beberapa. Contoh: Catnip 308|Thirdday),"Merek (Pilih salah satu, Contoh: Merek Lainnya)",Size (Bisa pilih beberapa. Contoh: XS|S|M),Jasa Pengiriman (gunakan vertical bar | sebagai pemisah jasa pengiriman contoh: jner | jney),URL Gambar 1,URL Gambar 2,URL Gambar 3,URL Gambar 4,URL Gambar 5
Sweater Polos Casual Pria - Sweater Pria Terbaru - Sweater Distro Modis - SWT1083,6,400,77500,Baru,"READY STOCK (NO PO) 

Bahan : Terry 

Size : AllSize (M fit to L)",Tidak,Lainnya,Merek Lainnya,All Size,j&tr|jner|jney,https://ecs7.tokopedia.net/img/cache/700/product-1/2019/10/15/540583699/540583699_30e00033-be66-4ff6-96e1-5ee5c4678b50_900_900.jpg,,,,
Sweater Fashion Pria - Sweater Distro Kekinian - Sweater Pria Casual - SWT1073,6,400,77500,Baru,"READY STOCK (NO PO) 

Bahan : Terry 

Size : AllSize (M fit to L)",Tidak,Lainnya,Merek Lainnya,All Size,j&tr|jner|jney,https://ecs7.tokopedia.net/img/cache/700/product-1/2019/8/23/2071494/2071494_6fa655b7-9aac-47bf-8425-bd67ae18acf4_900_900.jpg,,,,
Sweater Polos Casual Pria - Sweater Pria Fashion Terbaru - SWT1072,6,400,77500,Baru,"READY STOCK (NO PO) 

Bahan : Terry 

Size : AllSize (M fit to L)",Tidak,Lainnya,Merek Lainnya,All Size,j&tr|jner|jney,https://ecs7.tokopedia.net/img/cache/700/product-1/2019/8/23/2071494/2071494_e0fd1f37-32ee-40d5-80d2-26d7df8a63dd_900_900.jpg,,,,
Sweater Pria Kekinian Hitz - Sweater Gaul - Sweater Premium - SWT1071,6,400,77500,Baru,"READY STOCK (NO PO) 

Bahan : Terry 

Size : AllSize (M fit to L)",Tidak,Lainnya,Merek Lainnya,All Size,j&tr|jner|jney,https://ecs7.tokopedia.net/img/cache/700/product-1/2019/8/23/2071494/2071494_ece5da84-c4b5-409c-9deb-b8de568579be_900_900.jpg,,,,
Sweater Pria Terbaru - Sweater Formal - Sweater Pria Keren Terbaru - SWT1070,6,400,77500,Baru,"READY STOCK (NO PO) 

Bahan : Terry 

Size : AllSize (M fit to L)",Tidak,Lainnya,Merek Lainnya,All Size,j&tr|jner|jney,https://ecs7.tokopedia.net/img/cache/700/product-1/2019/8/23/2071494/2071494_2f240e11-ff26-4436-a0df-f5ad1be21139_900_900.jpg,,,,
Sweater Pria Premium - Sweater Distro Casual - Sweater Cowok - SWT1069,6,400,77500,Baru,"READY STOCK (NO PO) 

Bahan : Terry 

Size : AllSize (M fit to L)",Tidak,Lainnya,Merek Lainnya,All Size,j&tr|jner|jney,https://ecs7.tokopedia.net/img/cache/700/product-1/2019/8/23/2071494/2071494_142b7fe1-00c8-4463-9eb9-e47666a48b3c_900_900.jpg,,,,
Sweater Pria Terbaru - Sweater Santai - Sweater Kekinian - SWT1068,6,400,77500,Baru,"READY STOCK (NO PO) 

Bahan : Terry 

Size : AllSize (M fit to L)",Tidak,Lainnya,Merek Lainnya,All Size,j&tr|jner|jney,https://ecs7.tokopedia.net/img/cache/700/product-1/2019/8/23/2071494/2071494_9b7d42a0-32bb-4e98-91ed-60040b609f0f_900_900.jpg,,,,
Sweater Pria Kekinian Hitz - Sweater Gaul - Sweater Pria Trendy - SWT1084,6,400,77500,Baru,"READY STOCK (NO PO) 

Bahan : Terry 

Size : AllSize (M fit to L)",Tidak,Lainnya,Merek Lainnya,All Size,j&tr|jner|jney,https://ecs7.tokopedia.net/img/cache/700/product-1/2019/10/15/540557263/540557263_0cc616f4-bde6-4521-bdcd-d026b5148318_900_900.jpg,,,,
Sweater Pria Distro Keren - Sweater Keren Kekinian - SWT1085,6,400,77500,Baru,"READY STOCK (NO PO) 

Bahan : Terry 

Size : AllSize (M fit to L)",Tidak,Lainnya,Merek Lainnya,All Size,j&tr|jner|jney,https://ecs7.tokopedia.net/img/cache/700/product-1/2019/10/15/540554758/540554758_24018db7-39c3-40e1-a126-4ff16f613bd0_900_900.jpg,,,,
Sweater Fashion Cowok - Sweater Distro Pria - Sweater Pria Casual - SWT1086,6,400,77500,Baru,"READY STOCK (NO PO) 

Bahan : Terry 

Size : AllSize (M fit to L)",Tidak,Lainnya,Merek Lainnya,All Size,j&tr|jner|jney,https://ecs7.tokopedia.net/img/cache/700/product-1/2019/10/15/540532992/540532992_99a1c7ed-e522-42db-9c99-d31a14d47478_900_900.jpg,,,,
